Startup,One liner,Website,Country,LinkedIn,Founded,Funding $m,Funding stage,Climate category,Climate subcategories,Stage,Investors,Team 1 Name,Team 1 LinkedIn,Team 1 Title,Team 2 Name,Team 2 LinkedIn,Team 2 Title,Team 3 Name,Team 3 LinkedIn,Team 3 Title,Team 4 Name,Team 4 LinkedIn,Team 4 Title,Team 5 Name,Team 5 LinkedIn,Team 5 Title,Team 6 Name,Team 6 LinkedIn,Team 6 Title
Paterson Energy,A company that converts agricultural waste into bioenergy and biochar.,https://www.patersonenergy.com,India,https://www.linkedin.com/company/paterson-energy/,2016,,Pre-Seed,Energy,Waste biomass,Launch,"Zone Startups India, POWERED Accelerator",Amarnath Maitreyan,https://www.linkedin.com/in/amarnath-maitreyan-30545a148/?originalsubdomain=in,Executive,,,,,,,,,,,,,,,
Prozeal Green Energy,Solar EPC company.,https://www.prozealgreen.com,India,https://www.linkedin.com/company/prozeal-green-energy/,2012,7.34,Series A,"Energy, Carbon","Solar, Carbon removal",Scale-up,Alchemie Ventures,Shobit Rai,https://www.linkedin.com/in/shobit-rai-2664b856/,Co-Founder and CEO,Manan Thakkar,https://www.linkedin.com/in/manan-thakkar-97194621/,Co-Founder and CEO,,,,,,,,,,,,
Boon,Predictive filter maintenance using AI to ensure high efficiency and reliability of water purification systems.,https://helloboon.com,India,https://www.linkedin.com/company/helloboon/,2015,5,Series A,Industry,Water,Launch,Roca Group Ventures,Vibha Tripathi,https://www.linkedin.com/in/tripathivbha/,Co-Founder,Advait Kumar,https://www.linkedin.com/in/advaitkumar/,Co-Founder,,,,,,,,,,,,
climateXcapital,Reduce time spent raising climate capital.,https://www.climatexcapital.com,India,https://www.linkedin.com/company/climatexcapital/,2022,,Pre-Seed,Climate management,Sustainable finance,Pilot,"MVPRockets, I-Venture @ ISB",,,,,,,,,,,,,,,,,,
CHARGE+ZONE,Fleet electrification and retail EV charging company.,https://www.chargezone.co.in,India,https://www.linkedin.com/company/chargezone/,2018,108,Series B,"Transportation, Energy","EV charging / fleet management, Grid management",Scale-up,"British International Investment, BlueOrchard Finance, Macquarie Group",Kartikey Hariyani,https://www.linkedin.com/in/kartikeyhariyani/,Founder and CEO,,,,,,,,,,,,,,,
Everest Fleet,EV fleet management platform,https://everestfleet.com,India,https://www.linkedin.com/company/everest-fleet-pvt-ltd/,2016,253,Series C and Beyond,Transportation,"EV charging / fleet management, Micromobility",Scale-up,"Uber, Paragon Partners",Anand Chheda,https://www.linkedin.com/in/anand-chheda-58b50215/,Co-Founder and COO,Himani Ladsariya,https://www.linkedin.com/in/himani-ladsariya/,Co-Founder and CTO,Apurav Mahajan,https://www.linkedin.com/in/apurav-mahajan-393b6410/,Co-Founder,Siddharth Ladsariya,https://www.linkedin.com/in/siddharthladsariya/,Co-Founder and CEO,Amar Kerkar,https://www.linkedin.com/in/amar-kerkar-795ab9a/,Co-Founder,,,
Metastable Materials,Li-ion battery recycling.,https://www.metastable.in,India,https://www.linkedin.com/company/metastable-materials-pvt-ltd/,2021,2.79,Seed,"Energy, Transportation",Batteries,R&D,"Sequoia Capital India, Theia Ventures, Peak XV Partners (Sequoia Capital India)",,,,,,,,,,,,,,,,,,
oorja,Predictive modeling for battery design platform.,https://oorja.energy,India,https://www.linkedin.com/company/oorja-energy/,2022,1.5,Pre-Series A,Transportation,"EV charging / fleet management, Batteries",Pilot,"Anicut Capital, Micelio Fund",Vineet Dravid,https://www.linkedin.com/in/vineet-dravid-9478a1/,Co-Founder and CEO,Prashant Srivastava,https://www.linkedin.com/in/prashant-kumar-srivastava-205128131/,Co-Founder and CTO,Prajakta Sabnis,https://www.linkedin.com/in/prajakta-vaidya-sabnis-1b820818/,Co-Founder and CEnO,,,,,,,,,
Atomberg Technology,Smart and energy-efficient appliances company.,https://atomberg.com,India,https://www.linkedin.com/company/atomberg-technologies-private-limited/,2012,130,Series C and Beyond,Energy,Energy efficiency,Scale-up,"Inflexor Ventures, Temasek, Jungle Ventures",,,,,,,,,,,,,,,,,,
Rewild Bio,Alternative protein from fungal mycelium.,,India,,2022,0.021,Seed,Food & land use,Alternative foods,R&D,ProVeg Incubator,Sapan Kumar,,Co-founder and Director,Prateek Patra,https://www.linkedin.com/in/prateekpatra/,Co-founder and Director,,,,,,,,,,,,
Dump In Bin,Repurposing waste materials to create high-quality raw material and building products.,https://www.dumpinbin.com,India,https://www.linkedin.com/company/dump-in-bin/,2017,0.0649,Pre-Seed,"Industry, Built environment","Waste & recycling, Construction",Prototype,"Startup Haryana, Youth Co:Lab",Rishabh Patel,https://www.linkedin.com/in/therishpatel/,Founder and CEO,Nitin Yadav,https://www.linkedin.com/in/nitiin/,COO,,,,,,,,,,,,
Susstains Engineering Solutions,"Converting agricultural waste into biochar and hydrogen through sustainable, licensed technology to reduce CO2 emissions in steel production and activated carbon industries.",https://www.susstains.com,India,https://www.linkedin.com/in/susstains-engineering-solutions-llp-17b218222/?originalSubdomain=in,2021,0.05,Seed,"Food & land use, Carbon",Carbon capture & storage,Prototype,ArcelorMittal,Muthu Kumar K,https://www.linkedin.com/in/muthujeshz/?originalSubdomain=in,Founder,,,,,,,,,,,,,,,
NBC Framework,Democratising access to carbon markets such that even smallholder farmers can participate in the carbon markets.,https://www.nbcframework.io,India,https://www.linkedin.com/company/nbc-fraemwork/,2022,,Pre-Seed,Carbon,Carbon marketplace,Prototype,Carbon13,Naveen Tanwar,https://www.linkedin.com/in/naveentanwar/,Co-founder,Vishal Ahlawat,https://www.linkedin.com/in/vishal-ahlawat-149146318/,Co-founder,Sumit Kumar,https://www.linkedin.com/in/sumit-kumar-b67785239/,Co-founder,,,,,,,,,
Progen Foods Private Limited,"Indigenous, high-quality protein alternatives that reduce import dependence and carbon footprint.",,India,https://www.linkedin.com/company/progen-foods-pvt-ltd/?originalSubdomain=in,2022,,Seed,Food & land use,Alternative foods,R&D,PSG-Science and Technology Entrepreneurial Park (PSG-STEP),Adithya Subramanian,https://www.linkedin.com/in/adithyasubramanian/,Co-founder,Prateeka Haldorai,https://www.linkedin.com/in/prateeka-haldorai-86722916b/,Co-founder,,,,,,,,,,,,
ECKlien4Ras,Specializes in land-based Recirculating Aquaculture Systems (RAS) using innovative Electro-Coagulation technology for sustainable seafood production.,https://ecklien4ras.com,India,,2022,,Pre-Seed,Food & land use,Aquaculture,R&D,,Manimaran Baskaran,https://www.linkedin.com/in/manimaran-baskaran-8063091b/?originalSubdomain=in,Founder and CEO,,,,,,,,,,,,,,,
Scion Algae,"Advanced algae cultivation technology, producing high-value nutraceuticals and vegan proteins.",,India,https://www.linkedin.com/in/scion-algae-ba3877243/,2021,,Pre-Seed,Food & land use,"Alternative foods, Aquaculture",R&D,,Sai Krishna P,https://www.linkedin.com/in/sai-krishna-p-812152a/,Managing Director,,,,,,,,,,,,,,,
Zero Earth Company,Sustainable dairy by reducing methane emissions through innovative seaweed-based feed additives.,https://zeroearth.company,India,https://www.linkedin.com/company/zeroearth/,2023,,Pre-Seed,"Food & land use, Climate management","Livestock, Sustainable finance",R&D,,Ani Varghese,https://www.linkedin.com/in/ani-g-varghese/,Founder,Smitha V,https://www.linkedin.com/in/smitha-v-4b213722/,Co-founder and Executive Director,,,,,,,,,,,,
KriSHE Carbon,KriSHE aims to democratize carbon markets for Indian smallholder farmers by incentivizing sustainable agricultural practices and helping them sell carbon credits.,,India,https://www.linkedin.com/company/krishe-carbon/,2024,,Pre-Seed,"Food & land use, Carbon",Carbon marketplace,R&D,,Anjali Rose,https://www.linkedin.com/in/anjali-rose-b5a065183/,Co-founder,Naga Sai Krishna Bodavula,https://www.linkedin.com/in/naga-sai-krishna-bodavula-778549253/,Co-founder,,,,,,,,,,,,
Ocean Vital Aquatics,"Provides sustainable, seaweed-based solutions to enhance animal and human health, boost farm productivity, and promote eco-friendly practices.",,India,,0,,Pre-Seed,Food & land use,Aquaculture,R&D,,Aathreya,https://www.linkedin.com/in/aquatic/,Founder & Product Innovator,,,,,,,,,,,,,,,
Uncompromised,"Farmers & Engineers, building climate-resilient, regenerative farms through innovations in science and technology.",https://uncompromised.in,India,https://www.linkedin.com/company/uncompromised-world/,2023,,Pre-Seed,Food & land use,Crop yield,R&D,,Sikander Siraj,https://www.linkedin.com/in/sikander-siraj/,Co-founder & CEO,Krati Modi,https://www.linkedin.com/in/krati-modi-b14a01109/,Co-founder,Saurabh Singhvi,https://www.linkedin.com/in/saurabhsinghvi/,Founder,Ashima Goyal Siraj,https://www.linkedin.com/in/ashimagoyalsiraj/,Co-founder,,,,,,
Terracusto,Biogenic carbon removal by transforming biomass burning into profitable biochar production.,,India,https://www.linkedin.com/company/terracusto/,2023,,Pre-Seed,"Food & land use, Carbon",Carbon removal,R&D,,Nipun Sawhney,,Co-founder and CEO,Aditi Goswami,,Co-founder and CTO,,,,,,,,,,,,
Biome / Build,Alternative building materials made from nature's waste.,https://biome.build,India,https://www.linkedin.com/company/biomebuild/,2024,,Pre-Seed,Built environment,Construction,R&D,,Sumeet Popli,https://www.linkedin.com/in/sumeetpopli/,Founder,,,,,,,,,,,,,,,
Maini Renewables,Harnessing the power of water with damless hydrokinetic turbines—redefining renewable energy for a sustainable future.,https://www.mainirenewables.com,India,https://www.linkedin.com/company/maini-renewables/about/,2021,,Pre-Seed,Energy,"DERs - Distributed energy resources, Renewables development",Pilot,,Swati Maini,https://www.linkedin.com/in/mainiswati/,Founder,,,,,,,,,,,,,,,
IGoWise,"Smart, compact, and sustainable twin-wheeled trike vehicle for emerging markets.",https://www.igowise.com,India,https://www.linkedin.com/company/igotwikes/about/,2020,5,Seed,"Energy, Transportation",Micromobility,Pilot,,Chaitanya Eswarapragada,https://www.linkedin.com/in/chaitanyae/,CEO,Suresh Babu Salla,https://www.linkedin.com/in/suresh-babu-salla-92730323/,CTO,,,,,,,,,,,,
MyPickup,"Provides subscription based electric auto-rickshaw service for daily commutes to office-goers, school children, etc.",https://mypickup.in,India,https://www.linkedin.com/company/mypickup/about/,2022,0.323,Seed,Transportation,Micromobility,Launch,Inflection Point Venture,Abhijeet Jagtap,https://www.linkedin.com/in/abhijeet-jagtap1/,Founder,,,,,,,,,,,,,,,
VSRI Energy Solutions,"A provider of hydrogen retrofitting technologies enabling gasoline engines to run on hydrogen fuel, offering a cost-effective solution to reduce emissions without the need for major engine modifications.",https://www.vsrienergy.com,India,https://www.linkedin.com/company/vsri-energy-solutions-pvt-ltd/about/,2023,,Pre-Seed,Energy,Hydrogen,R&D,,Srikanth Vaddi,https://www.linkedin.com/in/srikanth-vaddi-9359aa281/,Founder & CEO,,,,,,,,,,,,,,,
deMITasse Energies,"Building efficient, reliable, inexpensive zero-emission power plants with long-duration grid-scale energy storage.",http://demitasse.tech,India,https://www.linkedin.com/company/demitasse-energies/about/,2011,10,Series A,Energy,Energy storage,Pilot,NSRCEL-IIMB,Vijay Prateik,https://www.linkedin.com/in/vijayprateik/,Founder and CEO,,,,,,,,,,,,,,,
Visarj Systems,"Providing immersion cooling solutions that significantly reduce energy, water, and space usage, while enhancing hardware efficiency and lifespan for data centers and electric vehicle batteries.",https://visarj.in,India,https://www.linkedin.com/company/visarj/about/,2023,,Pre-Seed,Industry,"Energy efficiency, Heating & cooling",Launch,,Aditya Kaul,https://www.linkedin.com/in/aditya-kaul-b4567a3a/,Co-founder,,,,,,,,,,,,,,,
Hydrium Energy,"Develops hydrogen fuel cell systems for heavy-duty mobility solutions, aiming for zero-emission logistics and advanced propulsion technologies.",https://hydriumenergy.com,India,https://www.linkedin.com/company/hydriumenergy/about/,2023,,Pre-Seed,Energy,Hydrogen,R&D,,Monish Ram,https://www.linkedin.com/in/monish-ram-58707047/,Co-founder,,,,,,,,,,,,,,,
E-Samarp Technologies,"E-Samarp Technologies designs cost-effective electric motors with reduced reliance on rare earth magnets, optimizing efficiency for electric vehicles and industrial applications.",https://www.esamarp.com,India,https://www.linkedin.com/company/e-samarp-technologies-pvt-ltd/about/,2022,,Pre-Seed,"Industry, Transportation","Energy efficiency, EV charging / fleet management",Pilot,,V Rajini,,Co-Founder and Director,Nagarajan V S,https://www.linkedin.com/in/nagarajan-v-s-822bb7a6/,Co-Founder and Director,,,,,,,,,,,,
BES Private Limited,"Compact, high-efficiency vertical-axis wind turbines.",https://www.bhaskaraengg.com,India,https://www.linkedin.com/company/bhaskara-engineering-services-pvt-ltd/about/,2022,,Pre-Seed,Energy,"Renewables development, Solar",Prototype,,Raju Govindharajan,https://www.linkedin.com/in/raju-govindharajan-98011417/,Director & CTO,Indhumathy Basker,https://www.linkedin.com/in/indhumathy-basker-6b8169147/,"Founder, Director & CEO",,,,,,,,,,,,
Watthour24,"Developing scalable sodium-ion batteries, leveraging earth-abundant materials for a geopolitically secure supply chain.",,India,,2022,,Pre-Seed,Transportation,Batteries,R&D,,Milind Kumar,https://www.linkedin.com/in/milind-kumar-71b0b8174/,Founder and CEO,,,,,,,,,,,,,,,
Shakti Photon Solutions Private Limited,Developing cost-effective PEM and AEM electrolyzers for scalable green hydrogen production.,https://www.shaktiphotonsolutions.com,India,https://www.linkedin.com/company/shakti-photon-solutions-private-limited/?originalSubdomain=in,2023,,Pre-Seed,Energy,"Hydrogen, Energy storage",R&D,,Dr. Mallikarjuna Rao MOTAPOTHULA,https://www.linkedin.com/in/dr-mallikarjuna-rao-motapothula-22268a34/,Founder and Director,Noah Jacob,https://www.linkedin.com/in/noah-jacob-901578174/,CTO,,,,,,,,,,,,
Evate,"A climate-focused platform offering accessible and affordable vehicle financing to empower drivers with vehicle ownership, targeting the transition to green transportation.",https://evatetech.com,India,https://www.linkedin.com/company/evatetech/about/,2023,0.042,Seed,"Climate management, Transportation","Sustainable finance, Micromobility",Pilot,,Vijay H Madhusudan,https://www.linkedin.com/in/vijay-hm/,Co-founder,Amit Shahani,https://www.linkedin.com/in/amitshahani/,Co-founder,,,,,,,,,,,,
Resilience,"Develops affordable lithium-ion energy storage solutions for businesses, reducing peak-hour electricity costs with modular battery systems.",,India,,0,,Pre-Seed,Energy,Energy storage,R&D,,,,,,,,,,,,,,,,,,,
Warar Energy Pvt Ltd,Designing cost-effective electric vehicles optimized for last-mile urban logistics and cargo mobility.,https://wararenergy.com,India,https://www.linkedin.com/company/wararenergy/about/,2021,,Seed,"Energy, Transportation",EV charging / fleet management,Pilot,Maharashtra State Innovation Society,Prabu Gnanasekaran,https://www.linkedin.com/in/prabu-g-8614196b/,Founder and Director,,,,,,,,,,,,,,,
BioSky Technologies,Driving precision and efficiency in renewable energy and infrastructure with advanced space-based intelligence.,https://biosky.tech,India,https://www.linkedin.com/company/biosky-technologies/,2024,,Pre-Seed,Energy,Renewables development,R&D,,Saurabh Kapil,,,,,,,,,,,,,,,,,
Energy Flow,Long-duration sulfur-iron flow batteries.,,India,,0,,,Energy,Energy storage,,,,,,,,,,,,,,,,,,,,
Aatral ESP,"Developing sodium-ion batteries as a sustainable, cost-effective, and eco-friendly alternative to lithium-ion batteries for solar energy storage.",https://www.aatral-esp.com,India,https://www.linkedin.com/company/aatral-esp/about/,2022,,Pre-Seed,"Energy, Transportation","Energy storage, Batteries",Pilot,,Subathra Rajendran,https://www.linkedin.com/in/suba-thra-9625b217/,CEO,Ashok Kumar,https://www.linkedin.com/in/ashok-kumar-4a1833271/,CTO,,,,,,,,,,,,
iAC,Implementing AI-driven retrofit solutions to enhance thermal efficiency and reduce energy consumption in existing air conditioning systems.,http://smdp.in,India,https://www.linkedin.com/company/smdpower/about/,2016,,Pre-Seed,Industry,"Energy efficiency, Heating & cooling",Launch,"FIED Incubator, VJTI-TBI",Vishwesh Bhat,https://www.linkedin.com/in/vishwesh-bhat-039b9b106/,Founder,,,,,,,,,,,,,,,
Tamira Bot,"Developing advanced EV charging solutions with improved thermal efficiency, longer lifespan, and faster charging, using indigenously manufactured technology.",https://tamirabot.com,India,https://www.linkedin.com/company/tamirabot/about/,2023,,Pre-Seed,"Industry, Transportation","Energy efficiency, Heating & cooling, EV charging / fleet management",Launch,,Valliammal P,,Director,Velayutham S,https://www.linkedin.com/in/velayutham01/,Founder & Director,,,,,,,,,,,,
Wankel Energy Systems,"Develops energy-efficient steam-to-power solutions, maximizing industrial energy savings and reducing carbon emissions.",https://wankel.in,India,https://www.linkedin.com/company/wankelenergysystems/about/,2022,,Pre-Seed,Industry,Energy efficiency,Pilot,"Forge Ventures, IIT Madras Incubation Cell",Gautam Subburaj,https://www.linkedin.com/in/gautam-subburaj-25979aab/,Co-founder,Balachandran R.,https://www.linkedin.com/in/balachandranraju/,Co-founder,Vipin Venugopal,https://www.linkedin.com/in/vipin-venugopal-5bb2a7116/,Co-founder and Director,Satyanarayanan Seshadri,https://www.linkedin.com/in/satyaseshadri/,Co-founder and Director,,,,,,
